Title,Category,Location,Graduation,Experience,Qualifications
google cloud program manager,program management,35,babs degree equivalent practical experience,3 years experience program andor project management cloud computing enterprise software andor marketing technologies,
supplier development engineer sde cableconnector,manufacturing  supply chain,6,bs degree engineering discipline equivalent practical experience,7 years experience cableconnector design manufacturing npi role,ability speak write english mandarin fluently idiomatically
data analyst product tools operations google technical services,technical solutions,47,bachelors degree business economics statistics operations research related analytical field equivalent practical experience,2 years work experience business analysis,1 year experience developing manipulating large datasets
developer advocate partner engineering,developer relations,47,babs degree computer science equivalent practical experience,experience working directly partners,programming experience one following languagesplatforms android java kotlin ios javascript
program manager audio visual av deployments,program management,47,babs degree equivalent practical experience,4 years experience managing large scale global av deployments,experience audiovisual video conferencing design system integration resolution
associate account strategist czechslovak global customer experience,technical solutions,20,bachelors degree equivalent practical experience,ability speak write english czech andor slovak fluently idiomatically,
supplier development engineer camera consumer hardware,hardware engineering,47,bs degree engineering equivalent practical experience,10 years experience design manufacturing new product introduction npi role,experience camera manufacturing
strategic technology partner manager healthcare life sciences,partnerships,47,babs degree equivalent practical experience,5 years experience partner management andor business development,experience working technology solutions healthcare industry experience within internal customerfacing roles
manufacturing business manager google hardware,manufacturing  supply chain,42,babs degree engineering supply chain equivalent practical experience,5 years related contract manufacturing business operations experience,experience finance analytics cost modeling negotiation experience
solutions architect healthcare life sciences google cloud,technical solutions,47,babs degree computer science related software engineering field equivalent practical experience,experience working cloud computing environment infrastructure storage platforms andor data,experience writing software one languages java python go javascript c similar
data analyst consumer hardware,product  customer support,47,babs degree computer science engineering economics business related degree equivalent practical experience,4 years experience analytical role business intelligence data analytics statistical consulting,4 years experience sql visualization tools tableau
partner onboarding manager americas,partnerships,47,bachelors degree equivalent practical experience,5 years experience program management partner development andor channel sales roles business technology market,
associate account strategist ukrainian gms sales,technical solutions,20,bachelors degree equivalent practical experience,experience internship experience sales customer support account management marketing consulting,ability speak write english ukrainian fluently idiomatically
survey lead google cloud support,product  customer support,47,babs degree technical quantitativebusinessoriented field equivalent practical experience,5 years experience market research survey analytics working across multiple functional support operational areas experience leading delivering customer initiatives including blending survey data customer insights measuring success using customer satisfaction metrics,experience data analysis principles experiment design survey design analysis clickstream analysis qualitative research
